YYWW,DOGA,MAX(PAY),MIN(PAY),A1,A2,B1,B2,C1,C2,D1,D2,TEMP1,TEMP2,TEMP3,TEMP4,TEMP5,TEMP6
201849,3919.8,3971,3867,-449891,-458555,-1021869,-1022565,-59587,-105395,-1143751,-1150495,50.4,-0.1,-0.3,-11.8,13.5,25.3
201850,3877.8,3968,3726,-448747,-459475,-1021602,-1025250,-40638,-91120,-1240693,-1250605,46.5,-2,-1.9,-8.1,4.6,12.7
201851,3540.4,3806,3176,-452973,-461925,-1025602,-1026370,-49742,-98545,-1122433,-1133785,49.7,3.9,3.8,-3.4,12.4,15.8
201852,3131.5,3212,3060,-452917,-460765,-1015775,-1016135,-73966,-126980,-1219232,-1226000,36.6,-5.4,-5.5,-14.4,5.2,19.6
201853,3126,3126,3126,,,,,,,,,39,-5.6,-5.4,-10.5,-0.5,10
201901,3190.5,3270,3123,-428501,-434765,-1062415,-1063015,-69351,-128450,-1314164,-1327460,44.4,-3.1,-3.1,-8.8,4.1,12.9
201902,3219.8,3265,3198,-405690,-413850,-822590,-826190,-44186,-81910,-1037919,-1045335,48.1,-0.2,-0.1,-9.4,8,17.4
201903,3276.3,3384,3043,-392717,-400325,-877350,-878070,-38621,-81590,-1052477,-1059125,50.3,-0.8,-0.8,-10.1,8.5,18.6
201904,3221,3328,3047,-428040,-435000,-849650,-851810,-54306,-92475,-1060149,-1067805,43,0.2,0.2,-6.6,7.1,13.7
201905,3353.7,3672,3018,-601331,-612155,-1184980,-1187860,-75688,-144490,-1424491,-1437475,51,0.3,0.2,-7.4,7,14.4
201906,3154.7,3233,3107,-181381,-184525,-545460,-546180,-43596,-71140,-747225,-748545,38.2,-1.9,-2,-10.2,10.1,20.3
201907,3027.4,3115,2938,-409988,-416900,-828030,-829230,-54457,-94275,-1145838,-1152990,43.9,-1.1,-1.1,-6.8,6.3,13.1
201908,3088.4,3186,3038,-384664,-389560,-797970,-799890,-39462,-80755,-1008075,-1014195,58,3.9,3.9,-2.6,14.5,17.1
201909,3386.5,3460,3346,-336041,-342305,-843865,-846385,-45142,-88050,-940295,-947615,38,7.6,7.6,-1.5,16.3,17.8
201910,3429.4,3613,3362,-450343,-457615,-776540,-777740,-57409,-98650,-956337,-960825,47,7.7,7.7,-0.4,15.3,15.7
201911,3726.2,3783,3683,-332667,-340275,-734420,-734900,-51988,-101880,-938691,-944955,54.5,5.1,5.1,-1.7,14.4,16.1
201912,3918.8,4038,3824,-402149,-409565,-736065,-740025,-52615,-91835,-966818,-971570,56.7,6.5,6.5,-0.8,16.7,17.5
201913,4324.4,4418,4114,-392281,-401425,-851620,-852820,-35780,-80945,-785164,-791020,51.6,8.1,8.1,0.3,17.6,17.3
201914,4549,4631,4481,-372828,-380700,-776810,-778490,-79281,-128770,-1054471,-1059535,38.3,9.7,9.8,1.3,20.3,19
201915,4532.2,4666,4381,-361514,-370970,-722070,-723270,-31525,-75200,-886161,-888585,48.9,10,10,3.9,18.4,14.5
201916,4353.6,4493,4237,-339149,-347045,-697490,-698690,-49941,-95565,-856977,-859305,55.8,14.9,15,6.8,28.2,21.4
201917,4114.8,4316,3870,-395594,-401930,-663220,-663220,-86733,-124695,-904372,-908020,62.1,14.2,14.1,4.1,25.9,21.8
201918,4127.8,4219,4076,-349324,-359740,-649230,-649950,-47053,-99675,-892692,-896340,39.2,17.1,17.2,9,27.4,18.4
201919,4083.6,4114,4043,-350344,-361000,-675960,-676440,-49495,-87090,-855660,-857580,41.3,17.9,17.9,8.4,28.9,20.5
201920,4147.4,4237,4102,-325317,-336285,-556900,-557620,-55779,-96095,-925045,-928045,54.6,20.9,20.9,12.9,30,17.1
201921,4178.8,4244,4135,-381854,-391310,-605080,-606280,-50816,-94895,-946900,-949300,50.5,21.3,21.2,11.7,33.4,21.7
201922,4312.2,4421,4208,-342644,-350660,-560795,-562115,-44451,-81985,-995194,-996490,48.2,19.9,20,11.9,29.5,17.6
201923,4193.4,4435,3975,-324755,-332795,-623890,-625330,-42509,-82050,-1019586,-1024050,66.7,21.3,21.2,15.7,29.6,13.9
201924,4289.6,4334,4239,-364395,-368115,-558520,-558520,-87736,-133590,-970866,-972930,56.1,21.9,21.9,15.5,28.8,13.3
201925,4183.8,4329,4034,-310343,-314975,-633060,-633060,-60768,-106300,-1043355,-1046115,61.6,23,23.1,17,31,14
201926,4042.2,4204,3862,-345647,-351335,-539260,-539260,-51217,-88480,-1004723,-1008155,63.7,24.6,24.6,19.5,32.8,13.3
201927,4240.2,4275,4165,-337432,-342280,-585070,-585070,-64915,-106300,-1126784,-1130240,51.6,26.1,26.1,20,36.1,16.1
201928,4153,4238,4045,-318749,-323285,-664100,-664100,-42171,-91705,-1073422,-1078270,66.2,24,24,19.3,31.6,12.3
201929,4134.4,4209,4087,-327832,-332200,-604950,-604950,-51727,-92080,-995927,-1001135,72.3,27.5,26.5,21.4,35,13.6
201930,3900.2,4097,3723,-319580,-326300,-617020,-617020,-49893,-88865,-878235,-881955,82.8,28.2,26.9,23.7,33.4,9.7
201931,3766.8,3898,3656,-333878,-345110,-616660,-616660,-59006,-105480,-1005121,-1014505,76.9,31,28.1,23.5,36,12.5
201932,3985.8,4025,3953,-356069,-359165,-644530,-644530,-68836,-111280,-1079370,-1085850,67.2,32.2,29.4,23.9,36.8,12.9
201933,4098.6,4342,3805,-366225,-371865,-634280,-634280,-51261,-98695,-1019323,-1028035,70.8,28.4,27,21.2,35.7,14.5
201934,4317.4,4408,4241,-314187,-318675,-701850,-701850,-107540,-152825,-1091258,-1095530,62.7,26.8,26.3,20.2,32.8,12.6
201935,4514.3,4621,4331,-454002,-459810,-781410,-781410,-76364,-129905,-1105578,-1111050,66.6,24.2,24.2,18.5,30.2,11.7
201936,4527.8,4681,4294,-399082,-404650,-836800,-836800,-97911,-157780,-1134013,-1139365,78.9,24.3,24.4,21.2,29.5,8.3
201937,4232.3,4403,4081,-365055,-368055,-766960,-766960,-60508,-116910,-1091312,-1096880,71.6,23.4,23.4,18.3,30.5,12.2
201938,5541.6,6201,4824,-434451,-439755,-986570,-996170,-75536,-147345,-1422090,-1428330,50.8,20.3,20.3,13.6,29,15.4
201939,4901.2,5248,4289,-497858,-504770,-982280,-991400,-88851,-146010,-1216150,-1223110,60.5,22.1,22.2,13.9,29.9,16
201940,3631,4031,3308,-456871,-460975,-991550,-1009550,-53949,-100875,-1162375,-1165855,73.6,20.2,20.2,13.2,28.2,15
201941,3161.8,3333,3017,-416280,-421320,-952628,-977540,-114777,-169615,-1216254,-1227390,55.8,16,16,7.7,26.1,18.4
201942,3023.6,3073,2969,-391460,-396020,-1012680,-1026840,-75499,-133575,-1156535,-1163375,60.1,16,16,8.8,24.6,15.8
201943,2877.6,3054,2716,-379535,-384935,-1014850,-1032130,-66421,-124990,-1152743,-1161695,57.7,14.9,14.9,4.7,24.4,19.7
201944,2926.8,3231,2809,-358817,-361625,-964680,-979080,-104097,-151260,-1089396,-1095300,61,13.7,13.6,5,22.1,17.1
201945,3528.6,3669,3420,-447586,-450370,-940950,-952950,-66609,-128595,-1096155,-1102515,54.2,10,10,1.1,18.4,17.3
201946,3819.2,3930,3672,-376057,-379825,-894420,-901620,-92184,-145500,-1274744,-1283720,67.9,6.3,6.2,-2.5,14.5,17
201947,3855.2,3913,3817,-403728,-407280,-960693,-971085,-98752,-164820,-1137521,-1144505,48.8,5.5,5.5,-4.6,17.7,22.3
201948,3882,3979,3808,-417520,-420400,-904490,-909290,-94942,-139800,-1105288,-1111480,54.6,3.4,3.3,-3.4,13.7,17.1
201949,3866.8,3915,3788,-365012,-368420,-991290,-1001130,-91989,-157320,-1183930,-1186810,50.8,-1.2,-1.1,-10.6,8,18.6
201950,3697.2,3820,3498,-389883,-393555,-930817,-938185,-101467,-156830,-1145965,-1150165,58.9,4.5,4.5,-3.7,12.9,16.6
201951,3025.2,3385,2749,-422765,-427925,-1020800,-1028000,-83288,-141755,-1174725,-1178685,63.8,1.9,1.8,-5.1,10.2,15.3
201952,2821.3,2919,2747,-399717,-403965,-980010,-980010,-113108,-158040,-1286915,-1298315,57.7,1.6,1.5,-5.7,6.8,12.5
201953,2830,2830,2830,,,,,,,,,41.7,-7.8,-7.9,-10.9,-4.5,6.4
202001,2964.4,3077,2898,-192110,-193550,-487360,-487360,-43681,-69950,-730940,-733100,62.5,1.3,1.5,-6.5,7.7,14.2
202002,3305.2,3454,3210,-420305,-426185,-968160,-968160,-71823,-117765,-1196372,-1200020,62.4,-0.7,-0.8,-5.7,8.9,14.6
202003,2833.3,3434,2280,-426290,-431090,-942270,-942270,-75345,-131570,-1300396,-1304140,46.9,-0.4,-0.4,-6.4,5.9,12.3
202004,2272.3,2403,2021,-425092,-430660,-894730,-894730,-67523,-120350,-1132572,-1136940,51.9,4.7,4.7,-1.3,11.9,13.2
202005,2719.6,2903,2589,-349099,-354835,-955020,-955020,-80680,-127185,-1348068,-1354740,52.6,2.6,2.5,-6,10.4,16.4
202006,2937.6,3008,2769,-424793,-429665,-953340,-953340,-92717,-136495,-1292510,-1297790,43.7,-1,-0.9,-11.8,14.6,26.4
202007,3107.8,3167,3016,-377719,-381535,-1005630,-1005630,-87026,-140785,-1151223,-1156335,68.6,3.1,2.9,-8.3,15.6,23.9
202008,3433.8,3631,3275,-404018,-409490,-984900,-984900,-96592,-141755,-1291898,-1297370,60.3,4.5,4.6,-4.4,12.2,16.6
202009,4175,4301,3850,-440772,-446340,-987080,-987080,-88407,-137795,-1231969,-1237705,63.2,5.5,5.5,0,13,13
202010,4187.8,4217,4164,-383275,-388195,-953380,-953380,-91565,-133765,-1251591,-1255455,50.2,5.8,5.9,-2.8,17.6,20.4
202011,3973.2,4039,3818,-361837,-365845,-999830,-999830,-84115,-125690,-1371955,-1375915,47.9,4.7,4.8,-2.7,13.3,16
202012,3804.6,3867,3748,-384583,-388495,-921430,-922150,-60376,-103725,-1282489,-1287985,43.9,10.5,10.5,2.7,19.5,16.8
202013,3541.8,3657,3396,-396400,-401200,-967880,-967880,-92242,-135050,-1166891,-1169795,37.9,11,11.1,1.3,20.6,19.3
202014,3767,3963,3638,-325175,-327215,-948210,-948210,-100217,-137095,-1251780,-1253940,42.2,9.5,9.5,1.9,17.4,15.5
202015,4102.4,4220,3988,-399130,-401530,-907740,-907740,-93850,-139775,-1345335,-1347855,47.3,10.6,10.6,4.3,20.4,16.1
202016,4315,4399,4273,-340950,-341190,-857070,-857070,-100237,-136135,-1319750,-1324070,60.5,12.2,12.1,4.8,23.8,19
202017,4627.4,4827,4508,-430655,-433175,-785990,-785990,-114018,-165015,-1329490,-1331890,49.2,10.8,10.9,2.9,19.9,17
202018,4953.8,5396,4702,-367630,-369790,-787680,-787680,-99940,-135000,-1263135,-1264935,65.7,18.6,18.6,9.3,27.4,18.1
202019,5092.4,5181,4964,-358655,-360215,-668830,-668830,-61566,-111870,-1219385,-1220945,61.3,17.1,17.1,10.5,27.6,17.1
202020,5075.8,5161,4923,-397300,-398020,-739980,-740700,-98519,-143715,-1311132,-1313580,69.8,17.1,17.1,10.1,26.8,16.7
202021,5225.2,5336,5028,-346100,-348980,-790200,-790200,-79206,-115665,-1289068,-1289740,70.6,17.2,17.2,9.2,25,15.8
202022,5158.2,5276,5097,-369345,-372105,-795350,-795350,-95722,-139030,-1325520,-1329120,64.5,19.7,19.7,11.8,30,18.2
202023,4837.8,5123,4564,-378605,-380645,-702250,-702250,-66691,-112160,-1304261,-1306205,67.8,23.6,23.7,17.6,32.8,15.2
202024,4619.6,4689,4527,-360560,-362960,-609230,-609230,-88146,-125250,-1429617,-1434345,63.6,25.1,25,18.2,33.5,15.3
202025,4627.6,4755,4516,-395935,-401575,-734990,-734990,-79862,-129800,-1372685,-1373525,58.5,25.7,25.6,19.5,35.4,15.9
202026,4590,4690,4467,-392485,-394525,-670280,-670280,-88456,-129495,-1230430,-1233790,79.4,22.7,22.7,18.4,30.1,11.7
202027,4835.8,4951,4700,-336195,-340155,-759580,-760780,-82220,-139875,-1404503,-1405535,70.2,24,24.1,18.1,30.9,12.8
202028,4986.4,5077,4898,-376212,-381300,-733670,-734390,-68211,-105920,-1311363,-1314315,74.2,24,23.7,17.2,32.9,15.7
202029,5094.4,5165,5013,-354308,-360020,-720060,-721260,-88098,-140960,-1325575,-1328575,74.6,24.7,24.8,18.9,31.6,12.7
202030,4910.2,5095,4731,-336490,-338890,-682487,-683135,-84868,-133235,-1327745,-1330025,81,23.7,23.7,18.5,29.6,11.1
202031,4403.6,4580,4138,-356731,-362275,-697500,-697500,-79765,-128150,-1276770,-1281570,90.8,25.8,25.3,22.6,29.6,7
202032,4362.8,4473,4202,-337824,-342960,-717330,-718530,-67803,-113800,-1243703,-1246415,91.2,25.1,25,22.4,29.5,7.1
202033,4385,4551,4220,-353150,-357470,-676320,-677040,-84164,-133450,-1343382,-1346550,83.8,30.6,27.4,23.5,32.2,8.7
202034,4105,4350,3781,-346206,-349950,-622240,-622240,-89645,-135330,-1180927,-1185415,77.9,28.7,27,21.5,34.5,13
202035,4281.6,4385,4187,-323150,-327230,-558600,-558600,-91698,-138975,-1162349,-1167845,81.4,30.3,27.3,23.8,34.5,10.7
202036,4733.4,5008,4500,-356972,-361340,-624550,-624550,-105927,-154680,-1160715,-1166115,78.4,22.6,22.6,17.5,27.5,10
202037,4991.3,5112,4777,-346610,-349250,-623380,-623380,-104969,-149290,-1181986,-1184770,77.4,21.7,21.8,16.7,27.7,11
202038,4851.5,4988,4620,-385250,-386690,-656630,-661430,-82413,-127970,-1095695,-1098455,63.4,20.8,20.8,13.6,26.2,12.6
202039,4201.3,4760,3387,-411793,-415705,-672790,-680710,-96022,-157875,-1215852,-1217580,62.9,20,20,14.8,26.5,11.7
202040,4281,4322,4240,-254942,-258590,-553350,-553350,-67416,-94205,-1043048,-1044200,69.6,17.4,17.4,8.5,25.7,17.2
202041,4109,4404,3820,-385987,-389995,-643703,-648335,-100672,-148985,-1192617,-1193745,57.9,16.3,16.3,8.6,23.3,14.7
202042,4146.4,4330,4007,-355217,-359225,-628205,-630965,-53584,-94430,-1197637,-1199005,60.5,13.4,13.3,6.5,21.7,15.2
202043,3913.8,4025,3783,-322830,-327150,-635935,-641095,-112294,-156645,-1142862,-1144590,63.3,11.9,11.9,3.2,19.4,16.2
202044,3684.4,3846,3453,-358225,-362905,-608551,-610975,-93476,-139685,-1063312,-1063840,55.6,11.5,11.4,2.7,19.6,16.9
202045,4055,4139,3871,-364960,-365680,-604250,-604250,-73666,-126215,-1179327,-1181175,54.2,9.2,9.2,0.2,18.1,17.9
202046,4241.4,4319,4122,-295947,-302115,-597880,-598600,-89519,-135010,-1185890,-1187090,65.6,11.9,12,3.5,20,16.5
202047,4350.4,4486,4241,-369160,-371080,-604280,-604280,-70343,-116645,-1199277,-1204485,74.6,7.2,7.1,-1.5,19.1,20.6
202048,4455.2,4565,4356,-352060,-357100,-603100,-603100,-92378,-134805,-1360787,-1363115,58.1,2.1,2.1,-3.6,10.9,14.5
202049,4670.2,4804,4543,-366485,-370685,-558640,-559360,-67530,-115675,-1306706,-1307810,54.1,1.8,1.7,-4.6,9.1,13.7
202050,4652.4,4705,4596,-331100,-336620,-571700,-572420,-82955,-122010,-1333713,-1338585,59.9,-0.2,-0.3,-11.1,9.4,20.5
202051,4176,4499,3837,-364235,-366275,-505200,-505920,-79921,-118055,-1319250,-1321890,53.4,-3.4,-3.3,-11.2,7.2,18.4
202052,3637.8,3744,3470,-327765,-332205,-567015,-568095,-74654,-108625,-1336622,-1338590,65.8,3.1,3,-6.2,11.4,17.6
202053,3760.5,3945,3576,-283962,-287370,-487920,-488640,-62476,-89690,-985842,-986850,53.7,-9.8,-9.9,-12.9,-5,7.9
202101,3735.3,3775,3654,-348995,-353675,-652860,-653820,-57151,-96725,-1409711,-1414295,51,-6.4,-6.5,-16.5,1.6,18.1
202102,3669.4,3765,3544,-365918,-370430,-583520,-583520,-80754,-116205,-1431212,-1432220,59.2,-6.2,-6,-18.6,8.3,26.9
202103,3664.8,3703,3597,-352955,-358595,-571380,-571380,-83806,-122890,-1334680,-1335880,54.7,-1.7,-1.7,-11.6,9.9,21.5
202104,3552.8,3669,3379,-393940,-398980,-621940,-621940,-89933,-124685,-1359177,-1363905,67,4.9,4.7,-9.7,13.9,23.6
202105,3647.8,3719,3568,-382898,-386690,-793200,-793200,-73745,-107260,-1540520,-1542200,55.7,-2.1,-2.1,-11.6,9.5,21.1
202106,3462,3583,3303,-438687,-441255,-1216310,-1216310,-59861,-94995,-1561691,-1563635,65.7,2.3,2.4,-6.1,10.9,17
202107,3247,3299,3223,-338075,-341555,-1092630,-1092630,-75557,-104110,-1665872,-1667120,53.4,0.9,0.8,-10.6,15.9,26.5
202108,3675.6,3810,3411,-428612,-434420,-606165,-606285,-94172,-136390,-1182740,-1185140,50.7,5,5.2,-7.1,17.4,24.5
202109,3810.8,3874,3741,-300655,-305095,-565080,-565080,-99053,-138780,-1174667,-1177955,60.6,6.2,6.3,-1.2,16.2,17.4
202110,3960.8,4075,3797,-333570,-337410,-650620,-650620,-89101,-126265,-1217787,-1219635,62.2,7.7,7.8,1.5,17.1,15.6
202111,4020.8,4116,3898,-376155,-379155,-550170,-550170,-82166,-123660,-1143847,-1145695,58,9.7,9.8,1.8,18.4,16.6
