YYWW,DOGA,MAX(PAY),MIN(PAY),A1,A2,B1,B2,C1,C2,D1,D2,TEMP1,TEMP2,TEMP3,TEMP4,TEMP5,TEMP6
202203,4376,4523,3983,-413910,-418710,-625530,-625530,-96598,-142570,-1372872,-1377480,57.1,-3.9,-3.9,-9.9,4.6,14.5
202204,4123.3,4459,3810,-532190,-537950,-918960,-918960,-128208,-196790,-1820784,-1823760,57.8,1.1,1,-5.9,8.4,14.3
202205,3976,3982,3970,-220630,-222310,-508130,-508130,-78294,-111375,-999170,-1000610,56.5,-2.9,-2.9,-8.2,4.8,13
202206,4075.8,4090,4061,-417670,-423430,-726290,-726290,-80800,-128695,-1303772,-1306940,53.5,-1.2,-1.1,-9.7,8.8,18.5
202207,4005.4,4146,3902,-430040,-435560,-616130,-616130,-90808,-145665,-1268652,-1273740,50.7,-1,-1,-10.7,10.4,21.1
202208,4340.2,4472,4236,-450700,-455260,-776480,-777440,-68849,-121590,-1324732,-1328860,50.9,-2.8,-2.7,-10,8.4,18.4
202209,4364.8,4516,4179,-395305,-399025,-644070,-644070,-86995,-142070,-1275960,-1278840,62.8,5.4,5.4,-2.3,14.6,16.9
202210,4317.3,4458,4230,-400261,-405325,-671320,-671320,-86801,-136505,-1257482,-1262810,51,5.7,5.7,-3,18.4,21.4
202211,4160,4302,4030,-415893,-422445,-652900,-652900,-84995,-137245,-1279307,-1282355,73.9,9.8,9.8,2.3,19.5,17.2
202212,4191,4306,4134,-385857,-391065,-587740,-587740,-101309,-155785,-1256391,-1260255,63.7,6.6,6.8,-0.3,17.2,17.5
202213,4404.6,4522,4316,-411002,-417050,-561270,-561270,-95032,-143455,-1157032,-1159720,59.4,9.8,9.8,1.5,15.7,14.2
202214,4619.2,4680,4559,-397837,-402565,-551940,-551940,-93583,-138075,-1312507,-1317475,49.7,10.5,10.6,3.5,20,16.5
202215,4849,4965,4774,-415390,-421630,-492240,-492240,-102405,-143970,-1257122,-1260770,56.8,16.4,16.4,7.5,26.6,19.1
202216,5462.4,5794,5159,-368058,-371130,-494680,-494680,-108370,-153925,-1233847,-1239775,53.3,14.9,14.9,7.1,22.7,15.6
202217,6244.8,6323,6121,-426710,-431990,-591170,-591170,-80307,-138335,-1416675,-1428075,59.8,18.2,18.2,10.4,28.7,18.3
202218,6665.5,6786,6599,-340580,-345620,-487410,-487410,-83100,-115410,-1233722,-1234730,54.9,15.9,16,7.9,25.8,17.9
202219,6398.8,6574,6199,-391250,-395330,-530390,-530390,-94092,-145150,-1301152,-1309600,50,18.8,18.8,11,28.1,17.1
202220,6385.2,6508,6258,-351180,-355740,-503190,-503190,-104080,-158850,-1361707,-1366195,52.3,18.5,18.5,10.5,27.4,16.9
202221,6133.8,6293,6057,-352905,-354705,-549640,-549640,-128221,-171405,-1206920,-1209560,64.6,20.8,20.9,14.1,30.7,16.6
202222,6179.3,6284,6063,-380190,-384990,-614780,-614780,-103979,-152605,-1364648,-1372280,58.4,22.1,22.1,14.2,32.6,18.4
202223,6028.8,6157,5868,-411900,-416220,-614560,-615280,-115848,-164070,-1455442,-1459090,64.7,21.7,21.7,15.1,29.7,14.6
202224,6003.6,6181,5706,-339920,-345200,-520640,-520640,-103272,-141395,-1196352,-1199760,69.8,22.1,22.1,14.9,32.7,17.8
202225,5659,5936,5403,-369920,-375920,-529930,-529930,-113851,-153695,-1160149,-1165405,79.9,24.5,24.5,20.6,32.6,12
202226,5407,5520,5245,-353660,-355820,-612240,-612240,-113302,-147420,-1050994,-1054690,86.7,26.5,25.7,21.2,30.9,9.7
202227,5485,5633,5390,-318633,-326145,-505710,-505710,-107907,-153110,-1008033,-1015305,75.8,32.5,28.6,24,34.2,10.2
202228,5653.4,5733,5593,-374142,-379950,-490340,-490340,-114676,-151160,-1093000,-1099000,79.2,28.1,26.7,23,35.1,12.1
202229,5733,5840,5654,-379206,-385590,-606760,-606760,-120711,-159650,-1047022,-1050670,79.5,26.7,25.7,20.8,31.1,10.3
202230,5589.2,5770,5470,-323812,-328420,-622460,-622460,-131704,-168410,-1000297,-1006945,74,30.6,28,22,34.4,12.4
202231,5603.8,5721,5501,-383216,-388400,-645890,-645890,-107767,-146660,-982352,-986240,81.6,33.3,28.4,25.2,36.1,10.9
202232,5864.2,6036,5591,-386932,-394180,-700950,-700950,-143792,-194715,-1015914,-1021290,86.2,29.3,26.6,21.4,32.4,11
202233,5844.2,6021,5692,-333650,-340850,-660500,-661220,-103162,-149470,-1017824,-1022720,80.2,28.1,26.5,22.4,31.5,9.1
202234,6056.2,6152,6005,-361510,-366550,-667000,-669400,-102589,-147620,-1047577,-1053025,75.5,27.1,25.6,19.9,32,12.1
202235,6282.8,6362,6118,-424922,-431930,-785510,-785510,-139841,-197745,-1156292,-1160420,73.2,22.1,22.1,16.1,30.4,14.3
202236,5284.8,6169,3612,-379565,-384005,-683800,-683800,-104038,-145250,-1221787,-1225555,73.9,22.4,22.4,16.7,30.8,14.1
202237,5478.5,5610,5336,-334584,-341160,-797960,-797960,-134343,-178950,-1347095,-1352975,67,24.3,24.4,19,29.9,10.9
202238,5442.6,5609,5259,-391108,-395620,-738820,-738820,-132344,-180580,-1289967,-1293735,66.5,22.4,22,13,32.5,19.5
202239,5330.4,5581,4668,-400750,-407710,-915920,-917360,-102121,-162895,-1278240,-1286160,65.7,20,20.1,12.3,28,15.7
202240,5534.5,6092,5263,-396119,-401135,-839300,-840260,-83930,-139355,-1461360,-1467600,77.7,18.1,18,11,27.6,16.6
202241,5338.2,5476,5093,-362432,-368240,-923610,-924090,-109803,-153045,-1297297,-1302985,72,13.7,13.8,6.5,23,16.5
202242,5316.8,5451,5236,-432721,-438505,-927600,-927600,-80543,-124460,-1355597,-1363685,62.2,13.3,13.3,4.4,24.4,20
202243,5117.8,5163,5014,-415537,-416425,-855930,-856890,-91742,-138240,-1361337,-1366065,64.2,13,13,5.9,20.8,14.9
202244,5157,5157,5157,-25487,-28775,-167390,-167390,-17543,-25165,-189502,-189550,65.3,14.8,14.9,10.2,21.3,11.1
