YYWW,DOGA,MAX(PAY),MIN(PAY),YYYY,A1,A2,B1,B2,C1,C2,D1,D2,YYWW_1,TEMP1,TEMP2,TEMP3,TEMP4,TEMP5,TEMP6
2020-28,4986.4,5077,4898,2020-28,-376212,-381300,-733670,-734390,-68211,-105920,-1311363,-1314315,2020-28,74.2,24,23.7,17.2,32.9,15.7
2020-30,4910.2,5095,4731,2020-30,-336490,-338890,-682487,-683135,-84868,-133235,-1327745,-1330025,2020-30,81,23.7,23.7,18.5,29.6,11.1
2020-45,4055,4139,3871,2020-45,-364960,-365680,-604250,-604250,-73666,-126215,-1179327,-1181175,2020-45,54.2,9.2,9.2,0.2,18.1,17.9
2020-51,4176,4499,3837,2020-51,-364235,-366275,-505200,-505920,-79921,-118055,-1319250,-1321890,2020-51,53.4,-3.4,-3.3,-11.2,7.2,18.4
Dec-21,4163,4353,3929,Dec-21,-353916,-357420,-500510,-500510,-78913,-115460,-1110584,-1114760,Dec-21,62.2,9.8,9.9,1.1,20.2,19.1
2021-20,4981,5089,4747,2021-20,-341608,-345400,-475070,-475070,-97092,-129175,-1025324,-1027100,2021-20,73,19.5,19.5,12.4,30.8,18.4
Feb-17,4311.3,4357,4236,Feb-17,-340186,-352570,-1335015,-1338735,-51894,-106550,-1247253,-1257885,Feb-17,46.9,-2.1,-2.3,-10.5,10.9,21.4
Aug-17,4279.4,4352,4181,Aug-17,-388815,-399975,-1101222,-1111590,-44421,-98880,-1314605,-1332245,Aug-17,57.5,0.2,0.3,-7.6,8.4,16
2017-26,5366.4,5473,5231,2017-26,-400093,-413845,-680830,-682750,-63519,-128275,-1257605,-1271165,2017-26,69.8,25,25.1,20.1,31.5,11.4
2017-37,5211.7,5415,4922,2017-37,-398296,-411160,-802780,-810220,-69887,-142365,-1428495,-1443735,2017-37,58.9,22.1,22.1,14.8,29.5,14.7
2017-47,4416.2,4451,4387,2017-47,-547262,-557390,-842480,-846800,-31030,-89100,-1288741,-1298845,2017-47,55.1,0.9,1,-6.6,10.8,17.4
Jan-18,3765.8,3852,3694,Jan-18,-465759,-480615,-1138630,-1138630,-41245,-100105,-1658213,-1675085,Jan-18,43.7,-2.7,-2.7,-8.7,3.8,12.5
